State,Latitude,Longitude,State,Population
AL,32.6010112,-86.6807365,Alabama,"4,876,250"
AK,61.3025006,-158.7750198,Alaska,"737,068"
AZ,34.1682185,-111.930907,Arizona,"7,050,299"
AR,34.7519275,-92.1313784,Arkansas,"2,999,370"
CA,37.2718745,-119.2704153,California,"39,283,497"
CO,38.9979339,-105.550567,Colorado,"5,610,349"
CT,41.5187835,-72.757507,Connecticut,"3,575,074"
DE,39.145251,-75.4189206,Delaware,"957,248"
DC,38.8993487,-77.0145666,District of Columbia,"692,683"
FL,27.9757279,-83.8330166,Florida,"20,901,636"
GA,32.6781248,-83.2229757,Georgia,"10,403,847"
HI,20.46,-157.505,Hawaii,"1,422,094"
ID,45.4945756,-114.1424303,Idaho,"1,786,378"
IL,39.739318,-89.504139,Illinois,"12,770,631"
IN,39.7662195,-86.441277,Indiana,"6,665,703"
IA,41.9383166,-93.389798,Iowa,"3,139,508"
KS,38.4987789,-98.3200779,Kansas,"2,910,652"
KY,37.8222935,-85.7682399,Kentucky,"4,449,052"
LA,30.9733766,-91.4299097,Louisiana,"4,664,362"
ME,45.2185133,-69.0148656,Maine,"1,335,492"
MD,38.8063524,-77.2684162,Maryland,"6,018,848"
MA,42.0629398,-71.718067,Massachusetts,"6,850,553"
MI,44.9435598,-86.4158049,Michigan,"9,965,265"
MN,46.4418595,-93.3655146,Minnesota,"5,563,378"
MS,32.5851062,-89.8772196,Mississippi,"2,984,418"
MO,38.3046615,-92.437099,Missouri,"6,104,910"
MT,46.6797995,-110.044783,Montana,"1,050,649"
NE,41.5008195,-99.680902,Nebraska,"1,914,571"
NV,38.502032,-117.0230604,Nevada,"2,972,382"
NH,44.0012306,-71.5799231,New Hampshire,"1,348,124"
NJ,40.1430058,-74.7311156,New Jersey,"8,878,503"
NM,34.1662325,-106.0260685,New Mexico,"2,092,454"
NY,40.7056258,-73.97968,New York,"19,572,319"
NC,35.2145629,-79.8912675,North Carolina,"10,264,876"
ND,47.4678819,-100.3022655,North Dakota,"756,717"
OH,40.1903624,-82.6692525,Ohio,"11,655,397"
OK,35.3097654,-98.7165585,Oklahoma,"3,932,870"
OR,44.1419049,-120.5380993,Oregon,"4,129,803"
PA,40.9945928,-77.6046984,Pennsylvania,"12,791,530"
RI,41.5827282,-71.5064508,Rhode Island,"1,057,231"
SC,33.62505,-80.9470381,South Carolina,"5,020,806"
SD,44.2126995,-100.2471641,South Dakota,"870,638"
TN,35.830521,-85.9785989,Tennessee,"6,709,356"
TX,31.1693363,-100.0768425,Texas,"28,260,856"
UT,39.4997605,-111.547028,Utah,"3,096,848"
VT,43.8717545,-72.4477828,Vermont,"624,313"
VA,38.0033855,-79.4587861,Virginia,"8,454,463"
WA,38.8993487,-77.0145665,Washington,"7,404,107"
WV,38.9201705,-80.1816905,West Virginia,"1,817,305"
WI,44.7862968,-89.8267049,Wisconsin,"5,790,716"
WY,43.000325,-107.5545669,Wyoming,"581,024"